lad19cd,lad19nm,Area_ha,GB_Name,Test,Area
E06000025,South Gloucestershire,23039.679,Bath and Bristol,7816039,7803757
E06000040,Windsor and Maidenhead,16477.5468,London,11104272,10091653
E07000007,Wycombe,15627.9166,London,5006759,1426501
E07000214,Surrey Heath,4190.528,London,1519431,1059299
E07000209,Guildford,22636.2181,London,14581085,7369388
E07000216,Waverley,20868.3884,London,6314060,3954499
E06000034,Thurrock,11671.6468,London,9071083,9063515
E07000212,Runnymede,6133.5364,London,7670899,7370838
E07000103,Watford,404.8041,London,1264770,1264770
E07000098,Hertsmere,7987.123,London,1635687,1635230
E09000010,Enfield,3070.8175,London,4620534,4389064
E07000115,Tonbridge and Malling,17055.9306,London,5320709,4612120
E07000110,Maidstone,527.5726,London,1525603,1504195
E07000210,Mole Valley,19643.4237,London,12132690,5202877
E09000018,Hounslow,1224.504,London,543176,543176
E07000070,Chelmsford,12826.6034,London,1602158,1594222
E07000213,Spelthorne,3320.7447,London,4708798,4179411
E07000238,Wychavon,8863.3178,Birmingham,2113464,2113464
E07000078,Cheltenham,547.0877,Cheltenham and Gloucester,2722240,2722240
E07000083,Tewkesbury,5533.1889,Cheltenham and Gloucester,829900,829900
E07000239,Wyre Forest,11217.7093,Birmingham,4860210,4582274
E08000026,Coventry,1478.5092,Birmingham,227067,227067
E07000219,Nuneaton and Bedworth,3245.6455,Birmingham,595815,591749
E08000029,Solihull,11870.5758,Birmingham,8648283,8522159
E07000177,Cherwell,8410.2568,Oxford,7217230,7217230
E06000056,Central Bedfordshire,28218.0004,London,8104318,7746076
E07000095,Broxbourne,3325.4751,London,3273294,3049133
E07000072,Epping Forest,31676.7569,London,10627187,9802231
E07000012,South Cambridgeshire,23224.5444,Cambridge,18565929,18499597
E07000008,Cambridge,973.4236,Cambridge,36389,36389
E07000009,East Cambridgeshire,1901.3911,Cambridge,9781,9781
E07000242,East Hertfordshire,16441.2261,London,12142451,11092886
E07000077,Uttlesford,3810.1399,London,1486596,1438801
E06000050,Cheshire West and Chester,38879.5869,Merseyside and Greater Manchester,20082678,20014886
E07000197,Stafford,9299.8157,Stoke-on-Trent,2718584,2682949
E07000198,Staffordshire Moorlands,17426.5959,Stoke-on-Trent,9050127,8610407
E06000049,Cheshire East,6527.197,Stoke-on-Trent,6105019,5889584
E08000009,Trafford,3987.5934,Merseyside and Greater Manchester,3176892,3176892
E08000007,Stockport,5859.9591,Merseyside and Greater Manchester,9673227,9365320
E06000049,Cheshire East,33636.7869,Merseyside and Greater Manchester,18455094,18180554
E08000015,Wirral,7334.477,Merseyside and Greater Manchester,7762403,7226644
E08000004,Oldham,6256.5903,Merseyside and Greater Manchester,2356442,2340725
E08000003,Manchester,1277.1496,Merseyside and Greater Manchester,3015113,3015113
E08000030,Walsall,3944.9329,Birmingham,609755,609755
E08000018,Rotherham,20061.0758,South and West Yorkshire,6580202,6307416
E08000019,Sheffield,9067.7802,South and West Yorkshire,3199106,2606343
E07000173,Gedling,8797.3294,Derby and Nottingham,3765363,3735259
E07000170,Ashfield,4524.9276,Derby and Nottingham,4369582,4232995
E08000017,Doncaster,23258.5216,South and West Yorkshire,16082001,15865620
E07000175,Newark and Sherwood,6280.8899,Derby and Nottingham,4735663,4735663
E07000036,Erewash,7845.335,Derby and Nottingham,3720285,3720285
E07000172,Broxtowe,4905.6137,Derby and Nottingham,1950293,696384
E06000018,Nottingham,736.6213,Derby and Nottingham,1625878,1464411
E07000176,Rushcliffe,16250.5046,Derby and Nottingham,3929095,3864226
E07000037,High Peak,3979.3911,Merseyside and Greater Manchester,6473806,6348030
E07000194,Lichfield,15177.8897,Birmingham,6505101,4582785
E07000121,Lancaster,1737.1183,"Carnforth, Lancaster and Morecambe",2248891,2234330
E07000126,South Ribble,7618.0853,Merseyside and Greater Manchester,2369525,2369525
E07000120,Hyndburn,3997.4393,Merseyside and Greater Manchester,1902587,1883940
